[33mWARN[0m[2026-08-25 00:03:25] not enable search                            
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool 115 Cloud success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool 115 Open success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool 123Pan success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool 123 Open success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool GuangYaPan success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool Thunder success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool ThunderBrowser success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool ThunderX success: ok 
[33mWARN[0m[2026-08-25 00:03:25] init offline download tool aria2 failed: failed get aria2 version: Post "http://localhost:6800/jsonrpc": dial tcp 127.0.0.1:6800: connect: connection refused 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool SimpleHttp success: ok 
[36mINFO[0m[2026-08-25 00:03:25] init offline download tool PikPak success: ok 
[33mWARN[0m[2026-08-25 00:03:25] init offline download tool qBittorrent failed: Post "http://localhost:8080/api/v2/auth/login": dial tcp 127.0.0.1:8080: connect: connection refused 
[33mWARN[0m[2026-08-25 00:03:25] init offline download tool Transmission failed: failed get transmission version: can't get session values: 'session-get' rpc method failed: failed to execute HTTP request: Post "http://localhost:9091/transmission/rpc": dial tcp 127.0.0.1:9091: connect: connection refused 
[36mINFO[0m[2026-08-25 00:03:25] start HTTP server @ 0.0.0.0:5244             
[GIN] 2026/08/25 - 00:04:42 | 200 | 505.208µs |             ::1 | GET      "/assets/entry-bKzg7eoH.js"
[GIN] 2026/08/25 - 00:04:42 | 200 | 222.916µs |             ::1 | GET      "/api/public/settings"
[GIN] 2026/08/25 - 00:04:42 | 200 |     75µs |             ::1 | GET      "/api/public/archive_extensions"
[GIN] 2026/08/25 - 00:04:42 | 200 | 434.896µs |             ::1 | GET      "/api/me"
[GIN] 2026/08/25 - 00:04:42 | 200 | 765.625µs |             ::1 | GET      "/assets/entry-CB1e5V78.js"
[GIN] 2026/08/25 - 00:04:42 | 200 | 369.27µs |             ::1 | GET      "/assets/login-C5HH_4Z2.js"
[GIN] 2026/08/25 - 00:04:45 | 200 |   1.24ms |             ::1 | POST     "/api/auth/login/hash"
[GIN] 2026/08/25 - 00:04:59 | 200 | 356.771µs |             ::1 | POST     "/api/auth/login/hash"
[GIN] 2026/08/25 - 00:06:35 | 200 | 829.167µs |             ::1 | POST     "/api/auth/login/hash"
[GIN] 2026/08/25 - 00:06:36 | 200 | 534.375µs |             ::1 | POST     "/api/auth/login/hash"
[GIN] 2026/08/25 - 00:06:39 | 200 | 452.084µs |             ::1 | POST     "/api/auth/login/hash"
[GIN] 2026/08/25 - 00:06:40 | 200 | 208.854µs |             ::1 | GET      "/api/me"
[GIN] 2026/08/25 - 00:06:41 | 200 | 143.75µs |             ::1 | GET      "/api/me"
[GIN] 2026/08/25 - 00:06:43 | 200 | 614.584µs |             ::1 | POST     "/api/auth/login/hash"
[GIN] 2026/08/25 - 00:06:56 | 200 |   1.01ms |             ::1 | GET      "/Android/欧珀 OPPO"
[GIN] 2026/08/25 - 00:06:56 | 200 | 314.063µs |             ::1 | GET      "/api/public/settings"
[GIN] 2026/08/25 - 00:06:56 | 200 | 68.229µs |             ::1 | GET      "/api/public/archive_extensions"
[GIN] 2026/08/25 - 00:06:56 | 200 | 111.458µs |             ::1 | GET      "/api/me"
[GIN] 2026/08/25 - 00:07:07 | 200 |   2.85ms |  103.151.172.97 | POST     "/api/auth/login/hash"
[GIN] 2026/08/25 - 00:07:13 | 200 | 154.687µs |  103.151.172.97 | GET      "/api/me"
[36mINFO[0m[2026-08-25 00:07:42] Shutdown server...                           
[36mINFO[0m[2026-08-25 00:07:42] Server exit                                  
[36mINFO[0m[2026-08-25 00:07:42] closing db                                   
